"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","testcase.test_task_detail_yaml.Test2#test_task_get_casebody","testcase","Mon Feb 10 15:49:18 CST 2025","passed","Mon Feb 10 15:49:18 CST 2025","Test2","test_task_detail_yaml","",""
"","202","testcase.test_task_detail_yaml.Test2#test_task_publish","testcase","Mon Feb 10 15:49:18 CST 2025","passed","Mon Feb 10 15:49:19 CST 2025","Test2","test_task_detail_yaml","",""
"","89","testcase.test_task_detail_yaml.Test2#test_task_query_theme","testcase","Mon Feb 10 15:49:17 CST 2025","passed","Mon Feb 10 15:49:18 CST 2025","Test2","test_task_detail_yaml","",""
"","180174","testcase.test_task_detail_yaml.Test2#test_task_query_6","testcase","Mon Feb 10 15:49:19 CST 2025","passed","Mon Feb 10 15:52:19 CST 2025","Test2","test_task_detail_yaml","",""
"","39","testcase.test_task_detail_yaml.Test2#test_task_get_single_step","testcase","Mon Feb 10 15:49:18 CST 2025","passed","Mon Feb 10 15:49:18 CST 2025","Test2","test_task_detail_yaml","",""
"","55","testcase.test_task_detail_yaml.Test2#test_task_get_model","testcase","Mon Feb 10 15:49:17 CST 2025","passed","Mon Feb 10 15:49:17 CST 2025","Test2","test_task_detail_yaml","",""
"","101","testcase.test_task_detail_yaml.Test2#test_task_get_breif_execlog","testcase","Mon Feb 10 15:52:19 CST 2025","passed","Mon Feb 10 15:52:19 CST 2025","Test2","test_task_detail_yaml","",""
"","333","testcase.test_task_detail_yaml.Test2#test_task_get_breif_commit","testcase","Mon Feb 10 15:52:20 CST 2025","passed","Mon Feb 10 15:52:20 CST 2025","Test2","test_task_detail_yaml","",""
"","47","testcase.test_task_detail_yaml.Test2#test_task_get_frequencyinfo","testcase","Mon Feb 10 15:49:18 CST 2025","passed","Mon Feb 10 15:49:18 CST 2025","Test2","test_task_detail_yaml","",""
"","817","testcase.test_task_detail_yaml.Test2#test_task_get_breif_exec","testcase","Mon Feb 10 15:52:19 CST 2025","passed","Mon Feb 10 15:52:20 CST 2025","Test2","test_task_detail_yaml","",""
"","52","testcase.test_task_detail_yaml.Test2#test_task_get_block","testcase","Mon Feb 10 15:49:18 CST 2025","passed","Mon Feb 10 15:49:18 CST 2025","Test2","test_task_detail_yaml","",""
"","80","testcase.test_task_detail_yaml.Test2#test_task_pre_save","testcase","Mon Feb 10 15:49:17 CST 2025","passed","Mon Feb 10 15:49:17 CST 2025","Test2","test_task_detail_yaml","",""
"","58","testcase.test_task_detail_yaml.Test2#test_task_save_xcpmodel","testcase","Mon Feb 10 15:49:17 CST 2025","passed","Mon Feb 10 15:49:17 CST 2025","Test2","test_task_detail_yaml","",""
"","141","testcase.test_task_detail_yaml.Test2#test_task_add","testcase","Mon Feb 10 15:49:18 CST 2025","passed","Mon Feb 10 15:49:18 CST 2025","Test2","test_task_detail_yaml","",""
"","69","testcase.test_task_detail_yaml.Test2#test_task_check","testcase","Mon Feb 10 15:49:18 CST 2025","passed","Mon Feb 10 15:49:18 CST 2025","Test2","test_task_detail_yaml","",""
"","84","testcase.test_task_detail_yaml.Test2#test_task_get_breif_edit_planendtime","testcase","Mon Feb 10 15:52:20 CST 2025","passed","Mon Feb 10 15:52:20 CST 2025","Test2","test_task_detail_yaml","",""
"","350","testcase.test_task_detail_yaml.Test2#test_task_get_breif","testcase","Mon Feb 10 15:52:19 CST 2025","passed","Mon Feb 10 15:52:19 CST 2025","Test2","test_task_detail_yaml","",""
"","83","testcase.test_task_detail_yaml.Test2#test_task_saveblock","testcase","Mon Feb 10 15:49:18 CST 2025","passed","Mon Feb 10 15:49:18 CST 2025","Test2","test_task_detail_yaml","",""
"","296","testcase.test_task_detail_yaml.Test2#test_task_query_theme_task","testcase","Mon Feb 10 15:49:18 CST 2025","passed","Mon Feb 10 15:49:18 CST 2025","Test2","test_task_detail_yaml","",""
"","52","testcase.test_task_detail_yaml.Test2#test_task_acceptance","testcase","Mon Feb 10 15:49:18 CST 2025","passed","Mon Feb 10 15:49:18 CST 2025","Test2","test_task_detail_yaml","",""
